indicator_id,indicator,year,value,unit,source,processing_method,data_quality
SP.POP.TOTL,"Population, total",2016,27955462,people,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.POP.TOTL,"Population, total",2017,28011258,people,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.POP.TOTL,"Population, total",2018,28079689,people,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.POP.TOTL,"Population, total",2019,28414064,people,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.POP.TOTL,"Population, total",2020,28966574,people,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.POP.TOTL,"Population, total",2021,29475010,people,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.POP.TOTL,"Population, total",2022,29715436,people,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.POP.TOTL,"Population, total",2023,29694614,people,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2010,62.0156581578338,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2011,63.139949798584,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2012,63.6558406194333,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2013,64.1314570156048,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2014,64.5640847098488,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2015,64.9510094249155,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2016,65.2895168835553,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2017,65.5768928085184,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2018,65.8104229225551,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2019,65.9873929484157,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2020,66.1050886088505,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2021,66.144235274522,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2022,66.2992968721053,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
SP.URB.TOTL.IN.ZS,Urban population (% of total population),2023,66.5432933453944,percent,World Bank WDI API,Fetched annual national indicator values for Nepal; sorted ascending by year.,national_context_only
